type,name_of_the_university,address,zip,state,status,url
Central,Aligarh Muslim University,"Zainul Abidin Road,Aligarh",202001,Uttar Pradesh,2(f) & 12(B),http://www.amu.ac.in
Central,Assam University,"Silchar, Dargakona, Cachar",788001,Assam,2(f) & 12(B),http://www.aus.ac.in
Central,Babasaheb Bhimrao Ambedkar University,"Vidya Vihar,Rae Bareily Road,Lucknow",226025,Uttar Pradesh,2(f) & 12(B),http://www.bbau.ac.in
Central,Banaras Hindu University,Varanasi,221005,Uttar Pradesh,2(f) & 12(B),http://www.bhu.ac.in
Central,Central Agricultural University,"Lamphelpat,Imphal West,",795004,Manipur,2(f) & 12(B),https://cau.ac.in
Central,Central Sanskrit University,"56-57 Institutional Area,Janakpuri",110058,Delhi,2(f) & 12(B),http://www.sanskrit.nic.in
Central,Central Tribal University of Andhra Pradesh,"Kondakarakam (PO), Cantonment (SPO), Vizianagaram",535003,Andhra Pradesh,2(f) & 12(B),https://www.ugc.gov.in/universitydetails/target=%22_blank%22
Central,Central University of Gujarat,"Near Jalaram Temple,Sector – 29,Gandhinagar,",382030,Gujarat,2(f) & 12(B),https://www.cug.ac.in
Central,Central University of Haryana,"Jant-Pali,Mahendergarh",123029,Haryana,2(f) & 12(B),http://www.cuh.ac.in
Central,Central University of Himachal Pradesh,"PO Box No. 21,Distt - Kangra,Dharamashala",176215,Himachal Pradesh,2(f) & 12(B),http://www.cuhimachal.ac.in
Central,Central University of Jammu,"Rahya-Suchani (Bagla),District Samba,Jammu",181143,Jammu and Kashmir,2(f) & 12(B),http://www.cujammu.ac.in
Central,Central University of Jharkhand,"Vill- Cheri Manatu, P.O- Kamre,P.S- Kanke, Brambe, Ranchi",835222,Jharkhand,2(f) & 12(B),http://www.cuj.ac.in
Central,Central University of Karnataka,"Kadaganchi, Aland Road,Aland Taluk,Gulbarga",585311,Karnataka,2(f) & 12(B),http://www.cuk.ac.in
Central,Central University of Kashmir,"Green Campus,Duderhama Ganderbal,Kashmir",191201,Jammu and Kashmir,2(f) & 12(B),http://www.cukashmir.ac.in
Central,Central University of Kerala,"Tejaswini Hills,Periye (PO),Kasaragod (DT)",671316,Kerala,2(f) & 12(B),https://www.cukerala.ac.in
Central,Central University of Odisha,"Sunabeda, Post: NAD, Dist. Koraput",763004,Odisha,2(f) & 12(B),http://cuo.ac.in
Central,Central University of Punjab,"VPO-Ghudda,Distt. Bathinda",151401,Punjab,2(f) & 12(B),http://www.cup.ac.in
Central,Central University of Rajasthan,"NH-8, Bandar Sindri, Kishangarh Dist-Ajmer",305801,Rajasthan,2(f) & 12(B),http://www.curaj.ac.in
Central,Central University of South Bihar,"SH-7, Gaya-Panchanpur Road,Village–Karhara, Post- Fatehpur, P.S. –Tekari,District-Gaya",824236,Bihar,2(f) & 12(B),https://www.cusb.ac.in
