type,name_of_the_university,address,zip,state,status,url
Deemed to be Universities,Academy of Maritime Education and Training,"135, East Coast Road, Kanathur",603112,Tamil Nadu,Section-III,https://www.ametuniv.ac.in
Deemed to be Universities,Amrita Vishwa Vidyapeetham,"Amritanagar, P.O., Ettimadai, Coimbatore",641112,Tamil Nadu,Section-III,http://www.amrita.edu
Deemed to be Universities,Audisankara (Deemed to be University),"NH-16, ByPass Road, Gudur, Tirupati Dist",524101,Andhra Pradesh,Section-III,https://www.audisankara.ac.in
Deemed to be Universities,Aurora Higher Education and Research Academy,"Uppal, Hyderabad",500001,Telangana,Section-III,https://www.aurora.ac.in
Deemed to be Universities,Avinashilingam Institute for Home Science & Higher Education for Women,"Bharathi Park Rd, Saibaba Colony, Coimbatore",641043,Tamil Nadu,Section-III & 12(B),https://avinuty.ac.in
Deemed to be Universities,B.L.D.E.,"Bangaramma Sajjan Campus, B M patil road,  Vijayapura",586103,Karnataka,Section-III & 12(B),https://bldedu.ac.in
Deemed to be Universities,B.S. Abdur Rahman Institute of Science and Technology,"G.S.T.Road, Vandalur, Chennai",600048,Tamil Nadu,Section-III,http://www.bsauniv.ac.in
Deemed to be Universities,Banasthai Vidyapith,"Vanasthali Rd, Aliyabad",304022,Rajasthan,Section-III & 12(B),http://www.banasthali.org
Deemed to be Universities,Bharath Institute of Higher Education & Research,"No. 173, Agharam Road, Selaiyur, Chennai",600073,Tamil Nadu,Section-III & 12(B),https://www.bharathuniv.ac.in
Deemed to be Universities,Bharati Vidyapeeth,"LBS Road Next to Alka Talkies, Sadashiv Peth, Pune",411030,Maharashtra,Section-III & 12(B),http://bvuniversity.edu.in
Deemed to be Universities,Birla Institute of Technology,"BIT Mesra, Ranchi",835215,Jharkhand,Section-III & 12(B),http://www.bitmesra.ac.in
Deemed to be Universities,Birla Institute of Technology & Science,"Vidya Vihar, Pilani",333031,Rajasthan,Section-III,https://www.bits-pilani.ac.in
Deemed to be Universities,Central Institute of Buddhist Studies(CIBS),"Choglamsar, Leh",194104,Ladakh,Section-III,https://cibs.ac.in
Deemed to be Universities,Central Institute of Fisheries Education,"Panch Marg, Off Yari Road, Versova, Andheri (West), Mumbai",400061,Maharashtra,Section-III,http://www.cife.edu.in
Deemed to be Universities,Central Institute of Higher Tibetan Studies,"Sarnath, Varanasi",221007,Uttar Pradesh,Section-III,http://www.cihts.ac.in
Deemed to be Universities,Central Institute of Technology(CIT),"Balagaon,  Kokrajhar, (BTAD)",783370,Assam,Section-III,https://www.cit.ac.in
Deemed to be Universities,Chaitanya,"Kishanpura, Hanamkonda, Distt-Warangal",506001,Telangana,Section-III,https://chaitanya.edu.in
Deemed to be Universities,Chennai Mathematical Institute,"H1, SIPCOT IT Park, Siruseri, Kelambakkam",603103,Tamil Nadu,Section-III,https://www.cmi.ac.in
Deemed to be Universities,Chettinad Academy of Research and Education  (CARE),"Rajiv Gandhi Salai, Kelambakkam,  Chengalpattu District, Chennai",603103,Tamil Nadu,Section-III & 12(B),https://care.edu.in
Deemed to be Universities,Chinmaya Vishwavidyapeeth,"Adi Sankara Nilayam, Ernakulum",682313,Kerala,Section-III,https://www.cvv.ac.in
Deemed to be Universities,Christ,"Hosur Road, DRC Post, Bangalore",560029,Karnataka,Section-III & 12(B),http://www.christuniversity.in
Deemed to be Universities,D. Y. Patil,"Sector - 07, Nerul, Navi Mumbai",400706,Maharashtra,Section-III & 12(B),http://www.dypatil.ac.in
Deemed to be Universities,D.Y Patil Educational Society,"869 E ward Line Bazar,  Kasaba Bavada, Kolhapur",416006,Maharashtra,Section-III,https://dypatilunikop.org
Deemed to be Universities,Datta Meghe Institute of Higher Education and Research,"Sawangi (Meghe), Wardha",442107,Maharashtra,Section-III & 12(B),http://www.dmimsu.edu.in
Deemed to be Universities,Dayalbagh Educational Institute,"Dayalbagh, Agra",282005,Uttar Pradesh,Section-III & 12(B),https://www.dei.ac.in
Deemed to be Universities,Deccan College Postgraduate & Research Institute,"Deccan College Road, Yerawada, Pune",411006,Maharashtra,Section-III,https://www.dcpune.ac.in
Deemed to be Universities,Defence Institute of Advanced Technology,"Girinagar, Pune",411025,Maharashtra,Section-III,https://www.diat.ac.in
Deemed to be Universities,Dr. D.Y. Patil Vidyapeeth,"Sant Tukaram Nagar, Pimpri, Pune",411018,Maharashtra,Section-III & 12(B),http://www.dpu.edu.in
Deemed to be Universities,Dr. M.G.R. Educational and Research Institute,"E.V.R Periyar Salai (NH4 Highway), Maduravoyal, Chennai",600095,Tamil Nadu,Section-III,https://www.drmgrdu.ac.in
Deemed to be Universities,Film and Television Institute of India,"Law college Road, Pune",411004,Maharashtra,Section-III,https://ftii.ac.in
Deemed to be Universities,Forest Research Institute,"Chakarata Rd, P.O, Indian Military Academy, Dehradun",248006,Uttarakhand,Section-III,http://www.icfre.org
Deemed to be Universities,Gandhi Institute of Technology and Management (GITAM),"Gandhi Nagar, Rushikonda, Visakhapatnam",530045,Andhra Pradesh,Section-III & 12(B),http://www.gitam.edu
Deemed to be Universities,GMR Institute of Technology (GMRIT),"MR Nagar, Rajam, Srikakulam,  Vizianagaram District",532127,Andhra Pradesh,Section-III,https://gmrit.edu.in
Deemed to be Universities,Gokhale Institute of Politics & Economics,"846 Shivajinagar, BMCC Road, Pune",411004,Maharashtra,Section-III & 12(B),http://www.gipe.ac.in
Deemed to be Universities,Graphic Era,"Bell Road, Clement Town, Dehradun",248002,Uttarakhand,Section-III & 12(B),https://www.geu.ac.in
Deemed to be Universities,Gujarat Vidyapith,"Ashram Road, Ahmedabad",380014,Gujarat,Section-III & 12(B),http://www.gujaratvidyapith.org
Deemed to be Universities,Gurukul Kangri Vidyapeeth,"Jagjeetpur, Haridwar",249404,Uttarakhand,Section-III & 12(B),http://www.gkv.ac.in
Deemed to be Universities,Heartfulness Academy of Research and Innovation (HARI),"Kanha Shanti Vanam, Chegur, Nandigama Mandal, Ranga Reddy District",509328,Telangana,Section-III,https://heartfulness.org/kanha
Deemed to be Universities,Hindustan Institute of Technology  and Science (HITS),"Rajiv Gandhi Salai, Padur, Kelambakkam, Chennai",603103,Tamil Nadu,Section-III,https://hindustanuniv.ac.in
Deemed to be Universities,"Homi Bhabha National Institute, Regd. Office","Training School Complex, Anushaktinagar",400094,Maharashtra,Section-III & 12(B),http://www.hbni.ac.in
Deemed to be Universities,ICFAI Foundation for Higher Education,"Donthanpalli, Sankarpalli Road, Hyderabad",501203,Telangana,Section-III & Category-I,http://www.ifheindia.org
Deemed to be Universities,IIS,"Gurukul Marg, SFS, Mansarovar, Jaipur",302020,Rajasthan,Section-III & 12(B),https://www.iisuniv.ac.in
