type,name_of_the_university,address,zip,state,status,url
IIIT,"Indian Institute of Information Technology, Vadodara",Vadodara,,Gujarat,Active,https://iiitvadodara.ac.in
IIIT,"Indian Institute of Information Technology, Surat",Surat,,Gujarat,Active,https://iiitsurat.ac.in
NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Surat,,Gujarat,Active,https://www.svnit.ac.in
IIM,Indian Institute of Management Ahmedabad,Ahmedabad,,Gujarat,Active,https://www.iima.ac.in
IIT,Indian Institute of Technology Gandhinagar,Gandhinagar,,Gujarat,Active,https://www.iitgn.ac.in
NIPER,"National Institute of Pharmaceutical Education and Research, Ahmedabad",Ahmedabad,,Gujarat,Active,https://niperahm.ac.in
NID,"National Institute of Design, Ahmedabad",Ahmedabad,,Gujarat,Active,https://nid.edu
NFSU,National Forensic Sciences University,Gandhinagar,,Gujarat,Active,https://www.nfsu.ac.in
RRU,Rashtriya Raksha University,Gandhinagar,,Gujarat,Active,https://rru.ac.in
ITRA,Institute of Teaching and Research in Ayurveda,Jamnagar,,Gujarat,Active,https://itra.ac.in
State,Kaushalya,"Mahatma Gandhi Labour Institute (MGLI), Drive-in Road, Memnagar, Ahmedabad",380052.0,Gujarat,2(f),https://kaushalyaskilluniversity.ac.in
Private,Adani University,"Shantigram Township, Near Vaishnodevi Circle, Ahmedabad",382421.0,Gujarat,2(f),https://www.adaniuni.ac.in
Private,Ahmedabad University,"Ahmedabad University, Commerce Six Roads, Navrangpura, Ahmedabad, GujaratAhmedabad",380009.0,Gujarat,2(f) & 12(B),http://www.ahduni.edu.in
State,Anand Agricultural University,"University Bhavan, Anand",388001.0,Gujarat,2(f),http://www.aau.in
Private,Anant National University,Sanskardham CampusBhopal-Ghuma-Sanand RoadAhmedabad,380015.0,Gujarat,2(f),http://www.anu.edu.in
Private,Atmiya University,"Yogidham Gurukul, Kalawad Road, RajkotKalawad Road Rajkot",360005.0,Gujarat,2(f),https://atmiyauni.ac.in
Private,"AURO University, Surat","Earthspace, Hazira RoadOpposite ONGC, Surat, Gujarat.",394510.0,Gujarat,2(f),http://aurouniversity.edu.in
Private,Bhagwan Mahavir University,"VIP Road, Vesu, SuratVesu, Surat",395007.0,Gujarat,2(f),https://www.bmusurat.ac.in
Private,Bhaikaka University,"Gokal Nagar, Karamsad – 388325 Gujarat, India Karamsad",388325.0,Gujarat,2(f),http://www.bhaikakauniv.edu.in
State,Bhakta Kavi Narsinh Mehta University,"Govt. Polytechnic College, Bilkha Road, Khadiya, Junagadh",362640.0,Gujarat,2(f) & 12(B),https://www.bknmu.edu.in
State,Birsa Munda Tribal University,"Vocational Training Centre (VTC), Vavdi Road, Distt.- Narmada",393145.0,Gujarat,2(f),https://bmtu.ac.in
Private,C. U. Shah University,"Surendranagar- Ahmedabad HighwayNr. Kothariya Village, Wadhwan CitySurendranagar",363030.0,Gujarat,2(f),http://www.cushahuniversity.ac.in
Central,Central University of Gujarat,"Near Jalaram Temple,Sector – 29,Gandhinagar,",382030.0,Gujarat,2(f) & 12(B),https://www.cug.ac.in
Private,CEPT University (Formerly Centre for Environmental Planning and Technology University),"University Road, Navrangpura, Ahmedabad",380009.0,Gujarat,2(f),http://www.cept.ac.in
Private,Charotar University of Science & Technology,"Off Nadiad-Petlad Highway Road, Changa",388415.0,Gujarat,2(f),http://www.charusat.ac.in
State,Children's University,"Subhash Chandra Bose Shikshan Sankul, Sector-20, Gandhinagar",382021.0,Gujarat,2(f) & 12(B),https://www.cugujarat.ac.in
Private,Darshan University,"Rajkot-Morbi Highway, Distt. Rajkot",363650.0,Gujarat,2(f),https://www.darshan.ac.in
State,Dharmsinh Desai University,"P.Box No. 35 College Road, Nadiad",387001.0,Gujarat,2(f) & 12(B),https://www.ddu.ac.in
Private,"Dhirubhai Ambani University (Formerly Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar)","DAIICT, Near Indroda Circle, Gandhinagar",382007.0,Gujarat,2(f),https://www.daiict.ac.in
State,Dr. Babasaheb Ambedkar Open University,"Jyotirmay' Parisar, Dr Babasaheb Ambedkar Open University Marg,Sarkhej Gandhinagar Highway, Chharodi, Ahmedabad",382481.0,Gujarat,2(f) & 12(B),http://www.baou.edu.in
Private,Dr. Subhash University,"Dr. Subhash Road, Junagadh,",362001.0,Gujarat,2(f),https://www.ugc.gov.in/universitydetails/Private_university_other?id=1191
Private,Drs. Kiran & Pallavi Patel Global University (KPGU),"Krishna Edu Campus, Varnama, Vadodara",391243.0,Gujarat,2(f),https://kpgu.ac.in
Private,G.L.S. University,"GLS Campus, Opp. Law Garden, Ellisbridge, AhmedabadOpp. Law GardenEllisbridge, Ahmedabad",380006.0,Gujarat,2(f) & Category-II,https://www.glsuniversity.ac.in
Private,Gandhinagar University,"Village: Moti Bhoyan, Khatraj-Kalol Road, Gandhinagar",382721.0,Gujarat,2(f),https://www.gandhinagaruni.ac.in
Private,Ganpat University,"Campus: Ganpat Vidyanagar, Mehsana, Goazaria Highway, District Mehsana, Off-Campus: Ganesh Meridian, Block-A, Opp. Kargil Petrol pump, Sola, S. G. Highway, Ahmedabad-380060",382711.0,Gujarat,2(f),http://www.ganpatuniversity.ac.in
Central,Gati Shakti Vishwavidyalaya,"Gati Shakti Vishwavidyalaya,Lalbaug,Vadodara",390004.0,Gujarat,2(f) & 12(B),https://gsv.ac.in
Private,Gokul Global University,"GOKUL GLOBAL UNIVERSITY,NEAR SUJANPUR PATIA,OPPOSITE IOC DEPOT,STATE HIGHWAY-41,SIDDHPUR-384151Near G. R. S. L., Sujanpur PatiaSidhpur, Dist- Patan",384151.0,Gujarat,2(f),https://www.gokuluniversity.ac.in
Private,GSFC University,Vigyan BhavanPO FertilizernagarDist. Vadodara,391750.0,Gujarat,2(f),http://www.gsfcuni.edu.in
State,Gujarat Ayurveda University,"Gujarat Ayurved University, Opp. B Division Police Station, Guru Dwara Road, Jamnagar-361008Jamnagar-361 008",361008.0,Gujarat,2(f) & 12(B),http://www.ayurveduniversity.edu.in
State,Gujarat Biotechnology University,"C/o Gujarat State Biotechnology Mission,Block 11, 9th Floor, Udyog Bhawan,Gandhinagar",382011.0,Gujarat,2(f),https://gbu.gujarat.gov.in/Announcements.php
Private,Gujarat Maritime University,"Sagar Bhavan, Ground Floor,Sector-10-A,Opp. Air Force Centre,CHH Road, Gandhinagar",382010.0,Gujarat,2(f),https://gmu.edu.in
State,Gujarat National Law University,"ATTALIKA AVENUE, KNOWLEDGE CORRIDOR, KOBA, SUB P.O. KOBA, GANDHINAGAR, GUJARATKoba (Sub P.O)Gandhinagar,",382426.0,Gujarat,2(f) & 12(B),http://www.gnlu.ac.in
State,Gujarat Natural Farming and Organic Agricultural University,"ATIC Building, Borsad Chokdi,Anad,",388001.0,Gujarat,2(f),https://www.ugc.gov.in/universitydetails/target=%22_blank%22
State,Gujarat Technological University,"Nr.Vishwakarma Government Engineering College Nr.Visat Three Roads, Visat - Gandhinagar Highway Chandkheda, Ahmedabad Nr.Visat Three Roads, Visat - Gandhinagar HighwayChandkheda, Ahmedabad",382424.0,Gujarat,2(f) & 12(B),http://www.gtu.ac.in
State,Gujarat University,"P.B.No.4010, Navrangpura,Ahmedabad",380.0,Gujarat,2(f) & 12(B),https://www.gujaratuniversity.ac.in
State,Gujarat University of Transplantation Sciences,"IKDRC-ITS Premises, Civil Hospital - Medicity Campus, Asarwa, Ahmedabad – 380 016, Gujarat, India. Civil Hospital Campus,Asarwa, Ahmedabad",380016.0,Gujarat,2(f),http://www.guts.education
Deemed to be Universities,Gujarat Vidyapith,"Ashram Road, Ahmedabad",380014.0,Gujarat,Section-III & 12(B),http://www.gujaratvidyapith.org
Private,Gyanmanjari Innovative University,"Survey No. 30, Sidsar Road, Bhavnagar,",364060.0,Gujarat,2(f),https://gmiu.edu.in/gmiu/website
State,Hemchandracharya North Gujarat University,"Hemchandracharya North Gujarat University, Patan Patan- 384 265. (GUJARAT)",384265.0,Gujarat,2(f) & 12(B),http://www.ngu.ac.in
Private,Indian Institute of Public Health,"Opposite Air-Force Headquarters GandhinagarNear Lekawada Bus Stop, Gandhinagar-Chiloda roadCRPF, P. O. Lekawada, Gandhinagar",382042.0,Gujarat,2(f),https://www.ugc.gov.in/universitydetails/www.iiphg.edu.in
State,Indian Institute of Teacher Education,"Kh Road, Sector 15, Nr. Mahatma Mandir, G-4, Sector-15, Gandhinagar",382016.0,Gujarat,2(f) & 12(B),https://www.iite.ac.in
Private,Indrashil University,"ON Ahmedabad-Mahesana Highway, Take Left from Kalapi Hotel, Near Chhatral,Kadi,GIDC, Rajpur, Taluka:Kadi, Dist.-Mehsana",382715.0,Gujarat,2(f),http://indrashiluniversity.edu.in
Private,Indus University,"Vill. Rancharda, Via: Shilaj, AhmedabadRancharda, Via-ThaltejAhmedabad",382115.0,Gujarat,2(f),http://indusuni.ac.in
Private,Institute of Advanced Research,"nstitute of Advanced Research, Koba Institutional Area, GandhinagarKoba,Gandhinagar",382426.0,Gujarat,2(f),https://www.iar.ac.in
State,Institute of Infrastructure Technology Research and Management,"Near Khokhra Circle, Maninagar (East), Ahmedabad-380 026, Gujarat, IndiaManinagar (East), Ahmedabad, Gujarat",380026.0,Gujarat,2(f),http://iitram.ac.in
Private,ITM (SLS) Baroda University,"VILLAGE PALDI, NEAR JAROD, VADODARA HALOL HIGHWAY TAL WAGHODIA, DIST: VADODARANear Jarod,Vododara-Halol Highwary, Vadodara",391510.0,Gujarat,2(f),https://www.itmbu.ac.in
Private,ITM Vocational University,"Plot 6512, Ajwa Nimeta Road, Raval, Taluka, Vagodia, District - Vadodara, Gujarat.Nimeta Road, Raaval TalukaWaghodia, Vadodara",391760.0,Gujarat,2(f),https://www.itm.ac.in
Private,J.G. University,"Uvarsad,Distt- Gandhinagar",,Gujarat,2(f),http://jguni.in
State,Junagarh Agricultural University,Junagarh,362.0,Gujarat,2(f),http://www.jau.in
Private,K. N. University,"Smt. K. N. Patel International School, Near KNPIS Circle, Vodafone Tower Lane, Gota, Ahmedabad",382481.0,Gujarat,2(f),https://knu.edu.in
Private,Kadi Sarva Vishwavidyalaya,"LDRPITR Campus, Near Kh 5 Circle, Sector 15, GandhinagarSector 15/23, Gandhinagar",382016.0,Gujarat,2(f),http://ksvuniversity.org.in
State,Kamdhenu University,"B-1 Wing, 4th Floor, Karmayogi Bhavan, Sector 10A Gandhinagar GujaratSector 10 A, Block B,Podium Level, Gandhinagar",382410.0,Gujarat,2(f),https://www.kamdhenuuni.edu.in
Private,Karnavati University,"907/A, UvarsadGhandhinagar,",382422.0,Gujarat,2(f),http://www.karnavatiuniversity.com
State,Krantiguru Shyamji Krishna Verma Kachchh University,"Mundra road bhuj kachchhBhuj-Kachchh, Gujarat",370001.0,Gujarat,2(f) & 12(B),http://kskvku.digitaluniversity.ac
