type,name_of_the_university,address,zip,state,status,url
Private,A.K.S. University,"SherGanj, Satna",485001,Madhya Pradesh,2(f),https://www.aksuniversity.ac.in
Private,A.P.G. (Alakh Prakash Goyal) Shimla University,"Shogi- Mehli Bypass Road, Shimla, H.P 171013",171009,Himachal Pradesh,2(f),http://agu.edu.in
Private,AAFT University of Media and Arts,"Vill-Maath, Tehsil-Tilda, Dist-Raipur",493225,Chhattisgarh,2(f),https://aaft.edu.in
Private,Abhilashi University,"Chailchowk (Chaichiot)Tehsil chachyot, distt. Mandi",175045,Himachal Pradesh,2(f),http://www.abhilashiuniversity.com
Private,Abhyuday University,"Garam Magriya, Khandwa Road, Khargone",451001,Madhya Pradesh,2(f),https://abhyudayuniversity.com
Private,Adamas University,"Barasat - Barrackpore Road, Barberia, PO Jagannathpur, PS Barasat, Kolkata",700126,West Bengal,2(f),https://adamasuniversity.ac.in
Private,Adani University,"Shantigram Township, Near Vaishnodevi Circle, Ahmedabad",382421,Gujarat,2(f),https://www.adaniuni.ac.in
Private,Adesh University,"NH-7, Barnala Road, Bhucho, BathindaBathinda",151101,Punjab,2(f),http://adeshuniversity.ac.in
Private,Adichunchanagiri University,"Campus: NH-75, Tq- Nagamangala, Dist- Mandya, B.G. Nagara- 571448   Off-Campus: BGS Vijnatham South Campus, Nagaruru, Dasanapura, Bangalore North-562123",571448,Karnataka,2(f),https://www.acu.edu.in
Private,Aditya University,"Aditya Nagar, ADB Road, Surampalem, Kakinada",533437,Andhra Pradesh,2(f),https://adityauniversity.in
Private,Agrawan Heritage University,"Bamrauli Katara, Fatehabad Road, Agra",283125,Uttar Pradesh,2(f),https://www.ahu.ac.in
Private,Ahmedabad University,"Ahmedabad University, Commerce Six Roads, Navrangpura, Ahmedabad, GujaratAhmedabad",380009,Gujarat,2(f) & 12(B),http://www.ahduni.edu.in
Private,AIPH University,"APEX Building, Pahal, Bhubaneswar-Cuttack NH16On Bhubneshwar-Cuttack Road, NH-5Bhubneshwar",752101,Odisha,2(f),http://aiph.ac.in
Private,AISECT University,"Matwari Chowk, HazaribagMatwari, Distt.- HazaribagHazaribagh",825301,Jharkhand,2(f),https://www.aisectuniversityjharkhand.ac.in
Private,Ajeenkya D.Y. Patil University,"Charholi BudrukVia Lohegaon, Pune",412105,Maharashtra,2(f),https://adypu.edu.in
