type,name_of_the_university,address,zip,state,status,url
State,"Kaushalya"""" the Skill University","Mahatma Gandhi Labour Institute (MGLI), Drive-in Road, Memnagar, Ahmedabad",380052,Gujarat,2(f),https://kaushalyaskilluniversity.ac.in
State,A.P.J. Abdul Kalam Technological University,"CET Campus, Alathara RdAmbady Nagar,Thiruvananthapuram",695016,Kerala,2(f),https://ktu.edu.in
State,Acharaya N.G.Ranga Agricultural University,"Amaravathi Road,Lam, Guntur",522034,Andhra Pradesh,2(f),https://angrau.ac.in
State,Acharya Nagarjuna University,"NH16,Nagarjuna Nagar,Guntur",522510,Andhra Pradesh,2(f) & 12(B),https://nagarjunauniversity.ac.in
State,Acharya Narendra Deva Krishi Evam Prodyogik Vishwavidyalaya,"Kumarganj, FaizabadAyodhya",224229,Uttar Pradesh,2(f) & 12(B),https://www.nduat.org
State,Adikavi Nannaya University,"Raja Raja Nagar, Rajamahendravaram,",533296,Andhra Pradesh,2(f) & 12(B),http://www.nannayauniversity.info
State,Agriculture University,"Mandore, Jodhpur",342304,Rajasthan,2(f),https://www.aujodhpur.ac.in
State,Agriculture University,"Borkhera, Post Box No. 20, GPO Nayapura, Kota",324001,Rajasthan,2(f),https://aukota.org
State,Alagappa University,"Vallal Alagappar Valagam, KaraikudiKaraikudiSivaganga District",630003,Tamil Nadu,2(f) & 12(B),https://www.alagappauniversity.ac.in
State,Aliah University,"IIA/27, New Town, KolkataNew Town, Kolkata",700160,West Bengal,2(f) & 12(B),http://www.aliah.ac.in
State,Alipurduar University,"P. O. - Alipurduar Court,Dist. - Alipurduar",736122,West Bengal,2(f),https://www.ugc.gov.in/universitydetails/target=%22_blank%22
State,Anand Agricultural University,"University Bhavan, Anand",388001,Gujarat,2(f),http://www.aau.in
State,Andhra Kesari University,"Pernamitta, Ongole, Prakasam District",523225,Andhra Pradesh,2(f),http://andhrakesariuniversity.in
State,Andhra Pradesh Fisheries University,"Vihsal Residency, Padmaja Nagar, Tadigadapa, Vijawada",521134,Andhra Pradesh,2(f),https://apfu.ap.gov.in
State,Andhra University,"Waltair Junction,Visakhapatnam,",530003,Andhra Pradesh,2(f) & 12(B),https://www.andhrauniversity.edu.in
State,Anna University,"Sardar Patel Road, Guindy, ChennaiGuindyChennai",600025,Tamil Nadu,2(f) & 12(B),http://www.annauniv.edu
State,Annamalai University,"Annamalainagar,Cuddalore",608002,Tamil Nadu,2(f) & 12(B),http://www.annamalaiuniversity.ac.in
State,Aryabhatta Knowledge University,"Chanakya National Law University Campus, Mithapur, Patna",800001,Bihar,2(f),http://akubihar.ac.in
State,Assam Agricultural University,"Nowchaliah Gaon,Jorhat",785013,Assam,2(f) & 12(B),http://www.aau.ac.in
State,Assam Rajiv Gandhi University of Co-operative Management,"Basic tiniali, gadaghar nagar,Joysagar, Dicial Dhulia Gaon,Sivasagar, Guwahati",785665,Assam,2(f),https://www.argucom.ac.in
State,Assam Science & Technology University,"Tetelia Road, jalukbari, Guwahati",781013,Assam,2(f),http://www.astu.org.in
State,Assam Skill University,"Mangaldoi, Dist. Darrang",784125,Assam,2(f),https://asu.ac.in
State,Assam Veterinary and Fishery University,"Khanapara, Guwahati,",781022,Assam,2(f),http://www.vetbifg.ac.in
State,Assam Women's University,"Jamuguri, Rowriah, Jorhat",785004,Assam,2(f),https://awu.ac.in
State,Atal Bihari Bajpayee Vishwavidyalaya (Formerly Bilaspur Vishwavidyalaya),"In front of Koni Police StationBilaspur- Ratanpur Road, Koni, Bilaspur(CG)",495009,Chhattisgarh,2(f) & 12(B),https://www.bilaspuruniversity.ac.in
State,Atal Bihari Vajpayee Hindi Vishwavidyalaya,"Mungalia Kot,Rajharsh Colony, Kolar MargBhopal",462038,Madhya Pradesh,2(f),http://www.abvhv.edu.in
State,Atal Bihari Vajpayee Medical University,"9th Floor, Academic Block, Dr. Ram Manohar Lohia Institute of Medical Sciences, Vibhuti Khand, Lucknow",226210,Uttar Pradesh,2(f),https://abvmuup.edu.in
State,Atal Medical and Research University(Formerly Himachal Pradesh University of Health Sciences),"SLBS Medical College & Hospital CampusNer Chowk, Distt- Mandi,Mandi",175008,Himachal Pradesh,2(f),https://amruhp.ac.in
State,Awadesh Pratap Singh University,"Sirmour Road,Ananthpur,Rewa",486003,Madhya Pradesh,2(f) & 12(B),http://www.apsurewa.nic.in
State,Ayush and Health Sciences University of Chhattisgarh,"Uparwara, Atal Nagar, Sector 40, Nava Raipur C.G.Raipur,",493661,Chhattisgarh,2(f),http://www.cghealthuniv.com
State,Baba Amte Divyang University,"3rd Floor, Rajiv Gandhi Bhawan, Shiksha Sankul, J.L.N. Marg, Jaipur",303017,Rajasthan,2(f),https://amtedivyanguniversity.ac.in
State,Baba Farid University of Health Sciences,"Sadiq Road, Faridkot",151203,Punjab,2(f) & 12(B),http://www.bfuhs.ac.in
State,Baba Ghulam Shah Badshah University,"Baba Ghulam Shah Badshah University, Rajouri, J&K - 185234Road,Chinnai Himmat, Jammu",185234,Jammu and Kashmir,2(f) & 12(B),https://bgsbu.ac.in
State,Babasaheb Bhimrao Ambedkar Bihar University,"Kalambagh Rd, Musahri, Muzaffarpur",842001,Bihar,2(f) & 12(B),http://www.brabu.net
State,Bagalkot University,"Mudhol Road, Jamkhandi",587301,Karnataka,2(f),https://www.bgku.ac.in
State,Banda University of Agriculture & Technology,"Near New Circuit House,Banda",210001,Uttar Pradesh,2(f),http://buat.edu.in
State,Bangalore University,"Jnana Bharathi, Bangalore",560056,Karnataka,2(f) & 12(B),https://eng.bangaloreuniversity.ac.in
State,Bankura University,"Main Campus, Bankura Block-II, P.O.-PurandarpurPO Bhagabandh,Dist. Bankura",722155,West Bengal,2(f) & 12(B),https://bankurauniv.ac.in
State,Barkatullaah University,"Hoshangabad Road, Bhopal",462026,Madhya Pradesh,2(f) & 12(B),http://www.bubhopal.nic.in
State,Bengaluru City University,"Rukmini Knowledge Park, kattigenahalli, Bengaluru",560064,Karnataka,2(f),https://bcu.ac.in
State,Bengaluru Dr. B. R. Ambedkar School of Economics University,"JNANABHARTI MAIN ROAD, NAGARABHAVI BENGALURUNagarabhavi P.O, Bengaluru",560072,Karnataka,2(f),https://base.ac.in
State,Bengaluru North University,"Devaraj Urs Extension, Tamaka Kolar, Karnataka",563103,Karnataka,2(f),https://eng.bnu.ac.in
State,Berhampur University,"Berhampur, Bhanja Bihar, Dt. Ganjam",760007,Odisha,2(f) & 12(B),https://www.buodisha.edu.in
State,Bhagat Phool Singh Mahila Vishwavidyalaya,"B.P.S. Mahila Vishwavidyalaya, Khanpur Kalan, Sonipat SonipatSonipat, Haryana",131305,Haryana,2(f) & 12(B),http://bpsmv.digitaluniversity.ac
State,Bhakta Kavi Narsinh Mehta University,"Govt. Polytechnic College, Bilkha Road, Khadiya, Junagadh",362640,Gujarat,2(f) & 12(B),https://www.bknmu.edu.in
State,Bharathiar University,"Bharathiar University, Marudhamalai Main Road, Coimbatore-641046PIN - 641 046.Tamil Nadu",641046,Tamil Nadu,2(f) & 12(B),http://www.b-u.ac.in
State,Bharathidasan University,"Palkalaiperur,Tiruchirappalli",620024,Tamil Nadu,2(f) & 12(B),https://www.bdu.ac.in
State,Bhatkhande Sanskriti Vishwavidyalaya,"Near, 1, Parivartan Chowk, Qaisar Bagh, Lucknow",226001,Uttar Pradesh,2(f),http://bhatkhandemusic.edu.in
State,Bhattadev University,"Pathsala,Barpeta",781325,Assam,2(f),http://www.bhattadevuniversity.ac.in
State,Bhupendra Narayan Mandal University,"Singheshwar Road, NH 106, Madhepura",852113,Bihar,2(f) & 12(B),http://bnmu.bih.nic.in
State,Bidhan Chandra Krishi Vishwavidyalaya,"Mohanpur, Nadia, West BengalDistt. Nadia 741 252 (WB)",741252,West Bengal,2(f) & 12(B),http://www.bckv.edu.in
State,Bihar Agricultural University,Sabour (BhagalPur),813210,Bihar,2(f),http://bausabour.ac.in
State,Bihar Animal Sciences University,"Bihar Veterinary College Campus, Patna",800014,Bihar,2(f),https://www.basu.org.in
State,Bihar Engineering University,"6th Floor, Examination Block, AKU Campus, Mithapur, Patna",800001,Bihar,2(f),http://beu-bih.ac.in/BEUP/Default.aspx
State,Bihar Sports University,"Rajgir, Nalanda,",803116,Bihar,2(f),https://biharsports.org
State,Bihar University of Health Sciences,"Mithapur, Patna",800001,Bihar,2(f),http://buhs.ac.in
State,Biju Patnaik University of Technology,"Chhend Colony, Rourkela",769015,Odisha,2(f),https://www.bput.ac.in
State,Bikaner Technical University,"RIICO Karni Industrial Area, Pugal Road, Bikaner",334004,Rajasthan,2(f),https://btu.ac.in
State,Binod Bihari Mahto Koyalanchal University,Govt. Polytechnic RoadDhanbad,828130,Jharkhand,2(f),https://bbmku.ac.in
State,Birangana Sati Sadhani Rajyik Vishwavidyalaya,Golghat,785621,Assam,2(f),http://bssrv.ac.in
State,Birsa Agricultural University,"Kanke Patratu Rd,Ranchi",834006,Jharkhand,2(f) & 12(B),http://www.baujharkhand.org
State,Birsa Munda Tribal University,"Vocational Training Centre (VTC), Vavdi Road,  Distt.- Narmada",393145,Gujarat,2(f),https://bmtu.ac.in
State,Biswa Bangla Biswabidyalay,"Shibpur, P.O. - Bolpur, Dist. - Birbhum,",731204,West Bengal,2(f),https://www.biswabanglabiswabidyalay.org
State,Bodoland University,"Debargaon, P.O. Rangalikhata,Kokrajhar",783370,Assam,2(f) & 12(B),https://buniv.edu.in
State,Bongaigaon University,"Bongaigaon,",783380,Assam,2(f),https://www.bongaigaoncollege.ac.in
State,Bundelkhand University,"Kanpur Road, Jhansi",284128,Uttar Pradesh,2(f) & 12(B),https://www.bujhansi.ac.in
State,Burdwan University,"Burdwan Rajbati, Raiganj,Bardhaman",713104,West Bengal,2(f) & 12(B),https://www.buruniv.ac.in
State,Calcutta University,"Calcutta University, College Square,Kolkata",700073,West Bengal,2(f) & 12(B),http://www.caluniv.ac.in
State,Calicut University,Calicut University P.O.Malappuram DistrictCalicut,673635,Kerala,2(f) & 12(B),http://www.uoc.ac.in
State,Captain Williamson Sangma State University,"West Garo Hills DistrictTura, Balalgre, P. O. Damalgre",794105,Meghalaya,2(f),https://www.ugc.gov.in/universitydetails/Null
State,Chanakya National Law University,"Mithapur, Nyaya Nagar, Patna",800001,Bihar,2(f) & 12(B),http://www.cnlu.ac.in
State,Chandra Shekhar Azad University of Agriculture & Technology,"Agricultural College Lane,Nawabganj,Kanpur",208002,Uttar Pradesh,2(f) & 12(B),http://www.csauk.ac.in
State,Chaudhary Bansi Lal University,"Hansi Road,  Bhiwani",127021,Haryana,2(f) & 12(B),https://cblu.ac.in
State,Chaudhary Charan Singh University,"Ramgarhi,Meerut",200005,Uttar Pradesh,2(f) & 12(B),https://www.ccsuniversity.ac.in
